index,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
DXCO3,DXCO3,ON,DEXCO ON,Madeira e Papel,Madeira,7.36,2022-12-12,7.36,16.68,40248500,5600690000,9278480000,2022-09-30,760963000,497,095,370,064,036,344,-140,15.8%,401,612,18.5%,148,776,34.8%,17.3%,12.9%,9.8%,12.4%,19.1%,141,095,056,15507500000,1928230000,5586610000,5606030000,3677800000,5906810000,8757050000,1515190000,1127720000,2161640000,384210000,154067000,,,,,,
RANI3,RANI3,ON,CELULOSE IRANI ON,Madeira e Papel,Papel e Celulose,8.49,2022-12-12,5.25,9.44,11358900,2091590000,2741200000,2022-09-30,246359000,588,192,373,124,077,669,-266,7.8%,413,489,18.0%,144,442,46.3%,33.1%,21.0%,20.7%,26.2%,32.7%,160,096,063,2707190000,398504000,832233000,1048110000,649606000,1088410000,1692320000,560439000,355617000,441405000,147255000,95530000,,,,,,
AERI3,AERI3,ON NM,AERIS ON NM,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.16,2022-12-12,1.00,7.97,9994130,888808000,1605990000,2022-09-30,766213000,-2527,094,503,037,026,071,-383,1.8%,696,910,-9.2%,-005,123,11.6%,7.3%,-1.5%,5.1%,8.6%,-3.7%,219,167,069,3459010000,856392000,2285010000,1573580000,717185000,942087000,2403170000,176531000,-35173000,625616000,47594000,-25908000,,,,,,
NORD3,NORD3,ON,NORDON INDS METALURGICAS SA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,5.83,2022-11-29,5.83,16.00,1405,38600400,76540400,2022-09-30,6621000,-480,-026,-8446,2370,222,-083,-023,0.0%,-16749,-16749,21.5%,-121,-2249,90.1%,-28.1%,-493.2%,-2.6%,-2.7%,5.4%,003,-025,009,17397000,8000,1202000,37948000,37940000,-148922000,1629000,-457000,-8035000,416000,-6000,-318000,,,,,,
FRIO3,FRIO3,ON NM,Metalfrio ON NM,Máquinas e Equipamentos,Máq. e Equip. Industriais,31.00,2022-11-16,31.00,50.59,76,127317000,1224420000,2022-03-31,4107000,-207,-057,094,006,007,-032,-017,0.0%,617,904,16.1%,-1495,-5431,18.1%,6.5%,-3.0%,7.4%,12.0%,27.5%,076,-586,114,1828980000,210087000,1265930000,1307190000,1097100000,-223039000,2081130000,135432000,-61411000,502794000,38671000,676000,,,,,,
INEP4,INEP4,PN,INEPAR S/A PN,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.13,2022-12-12,0.52,1.72,2179690,204686000,1000390000,2022-09-30,181138000,019,-014,014,850,015,-021,-008,0.0%,069,069,-20.8%,603,-797,33.3%,6000.2%,4592.5%,109.0%,114.5%,-75.6%,011,-055,002,1326480000,1245000,113782000,796950000,795705000,-1444050000,24094000,1445680000,1091480000,2073000,-7869000,-62491000,,,,,,
INEP3,INEP3,ON,INEPAR S/A ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.23,2022-12-12,0.52,1.88,6462790,222800000,1018500000,2022-09-30,181138000,020,-015,015,925,017,-023,-008,0.0%,070,070,-20.8%,603,-797,33.3%,6000.2%,4592.5%,109.0%,114.5%,-75.6%,011,-055,002,1326480000,1245000,113782000,796950000,795705000,-1444050000,24094000,1445680000,1091480000,2073000,-7869000,-62491000,,,,,,
BDLL4,BDLL4,PN,BAEDELLA PN,Máquinas e Equipamentos,Máq. e Equip. Industriais,8.32,2022-12-12,7.85,11.50,2583,13312000,234899000,2022-09-30,1600000,242,-007,-042,053,002,-019,-003,0.0%,-843,-747,-33.6%,344,-11334,-49.2%,-125.1%,21.9%,-4.7%,-5.0%,-3.0%,084,-123,004,662571000,815000,362275000,222402000,221587000,-181341000,25117000,-31427000,5505000,3672000,-9585000,16218000,,,,,,
TASA4,TASA4,PN,TAURUS ARMAS PN,Máquinas e Equipamentos,Armas e Munições,13.26,2022-12-12,13.26,24.55,12264800,1676000000,1915590000,2022-09-30,126395000,277,155,198,061,072,302,534,11.5%,219,227,40.9%,479,857,47.9%,30.6%,21.9%,36.1%,45.6%,55.9%,155,054,118,2340900000,343127000,1571080000,582723000,239596000,1083620000,2762450000,845034000,605873000,639972000,170098000,103139000,,,,,,
TASA3,TASA3,ON,TAURUS ARMAS ON,Máquinas e Equipamentos,Armas e Munições,13.50,2022-12-12,13.24,24.37,590625,1706330000,1945930000,2022-09-30,126395000,282,157,202,062,073,307,544,11.3%,222,230,40.9%,479,857,47.9%,30.6%,21.9%,36.1%,45.6%,55.9%,155,054,118,2340900000,343127000,1571080000,582723000,239596000,1083620000,2762450000,845034000,605873000,639972000,170098000,103139000,,,,,,
